"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0048534 hematopoietic or lymphoid organ development",5.34515031001802e-07,5.00993778127798,5.34515031001802e-07,1.41010155797618e-05,119,5.34515031001802e-07,"GO:0048534 hematopoietic or lymphoid organ development","bp"
"GO:0042098 T cell proliferation",5.88567072397913e-07,5.28102439409668,5.88567072397916e-07,1.52843511613334e-05,44,5.88567072397913e-07,"GO:0042098 T cell proliferation","bp"
"GO:0002831 regulation of response to biotic stimulus",6.58257362738944e-07,5.83181721573085,6.58257362738944e-07,1.68311344134173e-05,28,6.58257362738944e-07,"GO:0002831 regulation of response to biotic stimulus","bp"
"GO:0034097 response to cytokine",6.71727919766575e-07,5.02122656175583,6.7172791976658e-07,1.6915330343213e-05,83,6.71727919766575e-07,"GO:0034097 response to cytokine","bp"
"GO:0022409 positive regulation of cell-cell adhesion",6.83129976565655e-07,5.12675744740382,6.8312997656566e-07,1.69457018067482e-05,56,6.83129976565656e-07,"GO:0022409 positive regulation of cell-cell adhesion","bp"
"GO:0007166 cell surface receptor signaling pathway",7.06781711272235e-07,4.87783959425208,7.06781711272234e-07,1.7274576531389e-05,271,7.06781711272234e-07,"GO:0007166 cell surface receptor signaling pathway","bp"
"GO:1903037 regulation of leukocyte cell-cell adhesion",7.46604388193782e-07,5.05896022189882,7.46604388193781e-07,1.79101838327352e-05,64,7.46604388193782e-07,"GO:1903037 regulation of leukocyte cell-cell adhesion","bp"
"GO:0002819 regulation of adaptive immune response",7.54339872618207e-07,5.50776988721776,7.5433987261821e-07,1.79101838327352e-05,33,7.54339872618208e-07,"GO:0002819 regulation of adaptive immune response","bp"
"GO:0032944 regulation of mononuclear cell proliferation",8.23909049500339e-07,5.17381620375753,8.23909049500339e-07,1.90185672259662e-05,46,8.23909049500339e-07,"GO:0032944 regulation of mononuclear cell proliferation","bp"
"GO:0050670 regulation of lymphocyte proliferation",8.23909049500339e-07,5.17381620375753,8.23909049500339e-07,1.90185672259662e-05,46,8.23909049500339e-07,"GO:0050670 regulation of lymphocyte proliferation","bp"
"GO:0030097 hemopoiesis",1.10444201447222e-06,4.86002067204755,1.10444201447222e-06,2.51449675075731e-05,113,1.10444201447222e-06,"GO:0030097 hemopoiesis","bp"
"GO:0048522 positive regulation of cellular process",1.23613273898291e-06,4.74098742475194,1.2361327389829e-06,2.74880051524553e-05,450,1.23613273898291e-06,"GO:0048522 positive regulation of cellular process","bp"
"GO:0006909 phagocytosis",1.24043344550791e-06,5.03925666332069,1.24043344550791e-06,2.74880051524553e-05,48,1.24043344550791e-06,"GO:0006909 phagocytosis","bp"
"GO:0030217 T cell differentiation",1.31986475065529e-06,5.0758876946192,1.31986475065529e-06,2.88633580998564e-05,43,1.31986475065529e-06,"GO:0030217 T cell differentiation","bp"
"GO:0002237 response to molecule of bacterial origin",1.34359807499013e-06,5.1673041971604,1.34359807499013e-06,2.90007792290078e-05,37,1.34359807499013e-06,"GO:0002237 response to molecule of bacterial origin","bp"
"GO:0070663 regulation of leukocyte proliferation",1.36279967818839e-06,5.03469940273801,1.36279967818839e-06,2.90381162198604e-05,47,1.36279967818839e-06,"GO:0070663 regulation of leukocyte proliferation","bp"
"GO:0002274 myeloid leukocyte activation",1.56586804242737e-06,5.0431870125185,1.56586804242738e-06,3.29426922343583e-05,41,1.56586804242738e-06,"GO:0002274 myeloid leukocyte activation","bp"
"GO:0031347 regulation of defense response",1.96085224733343e-06,4.82260807367452,1.96085224733343e-06,4.0736705438352e-05,67,1.96085224733343e-06,"GO:0031347 regulation of defense response","bp"
"GO:0022407 regulation of cell-cell adhesion",2.05607856398347e-06,4.78944820144035,2.05607856398348e-06,4.2187686090624e-05,74,2.05607856398347e-06,"GO:0022407 regulation of cell-cell adhesion","bp"
"GO:0019882 antigen processing and presentation",2.24456175024935e-06,5.23269136672727,2.24456175024935e-06,4.54934344989564e-05,31,2.24456175024935e-06,"GO:0019882 antigen processing and presentation","bp"
"GO:0006954 inflammatory response",2.27401005703513e-06,4.70919686891527,2.27401005703514e-06,4.55349965637639e-05,105,2.27401005703513e-06,"GO:0006954 inflammatory response","bp"
"GO:0050870 positive regulation of T cell activation",2.34658063717422e-06,4.88377791378685,2.34658063717422e-06,4.64287740355184e-05,47,2.34658063717422e-06,"GO:0050870 positive regulation of T cell activation","bp"
"GO:0002822 regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2.84458126608824e-06,5.16736804229013,2.84458126608823e-06,5.56199301675135e-05,30,2.84458126608824e-06,"GO:0002822 regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0050864 regulation of B cell activation",3.03612096958597e-06,5.85016039289786,3.03612096958597e-06,5.86748029238591e-05,22,3.03612096958597e-06,"GO:0050864 regulation of B cell activation","bp"
"GO:0032103 positive regulation of response to external stimulus",3.6214475171544e-06,4.81907201105298,3.6214475171544e-06,6.91821353277082e-05,42,3.62144751715439e-06,"GO:0032103 positive regulation of response to external stimulus","bp"
"GO:0045785 positive regulation of cell adhesion",3.92108956374874e-06,4.6301001610727,3.92108956374873e-06,7.4055123351709e-05,78,3.92108956374874e-06,"GO:0045785 positive regulation of cell adhesion","bp"
"GO:0002706 regulation of lymphocyte mediated immunity",4.21859735112528e-06,5.06920025155267,4.21859735112527e-06,7.87787505344966e-05,29,4.21859735112528e-06,"GO:0002706 regulation of lymphocyte mediated immunity","bp"
"GO:0048002 antigen processing and presentation of peptide antigen",5.50596250184015e-06,5.16838399403501,5.50596250184014e-06,0.000101676774200648,26,5.50596250184015e-06,"GO:0048002 antigen processing and presentation of peptide antigen","bp"
"GO:0007155 cell adhesion",7.01960828645246e-06,4.40997118216211,7.0196082864525e-06,0.000128204274418506,165,7.01960828645246e-06,"GO:0007155 cell adhesion","bp"
"GO:0002456 T cell mediated immunity",7.33049687213629e-06,5.09010329119262,7.33049687213632e-06,0.000132427019581419,25,7.3304968721363e-06,"GO:0002456 T cell mediated immunity","bp"
"GO:0098609 cell-cell adhesion",7.81464551394821e-06,4.43437068477591,7.81464551394825e-06,0.00013965527789443,96,7.8146455139482e-06,"GO:0098609 cell-cell adhesion","bp"
"GO:0006259 DNA metabolic process",8.32490626937662e-06,4.52910922850339,8.32490626937661e-06,0.000147191427869191,54,8.32490626937661e-06,"GO:0006259 DNA metabolic process","bp"
"GO:0050852 T cell receptor signaling pathway",8.54855981231819e-06,5.14025684927634,8.54855981231823e-06,0.000148422350112853,24,8.54855981231818e-06,"GO:0050852 T cell receptor signaling pathway","bp"
"GO:0022610 biological adhesion",8.57313213648248e-06,4.36272498169256,8.57313213648246e-06,0.000148422350112853,168,8.57313213648248e-06,"GO:0022610 biological adhesion","bp"
"GO:0042129 regulation of T cell proliferation",8.91857073666115e-06,4.61786082664683,8.91857073666112e-06,0.000152810974890008,38,8.91857073666114e-06,"GO:0042129 regulation of T cell proliferation","bp"
"GO:0071345 cellular response to cytokine stimulus",9.31861841765537e-06,4.43696694037583,9.3186184176554e-06,0.000158036161327993,70,9.31861841765538e-06,"GO:0071345 cellular response to cytokine stimulus","bp"
"GO:0030183 B cell differentiation",9.49360812771104e-06,5.50611885055543,9.49360812771103e-06,0.000158614624875834,21,9.49360812771104e-06,"GO:0030183 B cell differentiation","bp"
"GO:0071840 cellular component organization or biogenesis",9.5435995713498e-06,4.30035858161834,9.54359957134981e-06,0.000158614624875834,415,9.5435995713498e-06,"GO:0071840 cellular component organization or biogenesis","bp"
"GO:0002821 positive regulation of adaptive immune response",1.00531467972712e-05,5.00484684885092,1.00531467972712e-05,0.000164452734903999,24,1.00531467972712e-05,"GO:0002821 positive regulation of adaptive immune response","bp"
"GO:0019724 B cell mediated immunity",1.00927671240722e-05,4.85270385363157,1.00927671240722e-05,0.000164452734903999,25,1.00927671240722e-05,"GO:0019724 B cell mediated immunity","bp"
"GO:0071216 cellular response to biotic stimulus",1.02027124756249e-05,5.14693034528948,1.02027124756248e-05,0.000164630176062995,22,1.02027124756249e-05,"GO:0071216 cellular response to biotic stimulus","bp"
"GO:0032946 positive regulation of mononuclear cell proliferation",1.08814924028868e-05,4.65351944507317,1.08814924028868e-05,0.00017223847974855,32,1.08814924028868e-05,"GO:0032946 positive regulation of mononuclear cell proliferation","bp"
"GO:0050671 positive regulation of lymphocyte proliferation",1.08814924028868e-05,4.65351944507317,1.08814924028868e-05,0.00017223847974855,32,1.08814924028868e-05,"GO:0050671 positive regulation of lymphocyte proliferation","bp"
"GO:0016043 cellular component organization",1.1285458473233e-05,4.26228702655111,1.12854584732331e-05,0.000176947471533145,414,1.1285458473233e-05,"GO:0016043 cellular component organization","bp"
"GO:0009615 response to virus",1.26835711873066e-05,4.71264506559213,1.26835711873066e-05,0.000197010236572931,26,1.26835711873066e-05,"GO:0009615 response to virus","bp"
"GO:0045088 regulation of innate immune response",1.33995335139916e-05,5.00204528272748,1.33995335139916e-05,0.000206203932409759,22,1.33995335139916e-05,"GO:0045088 regulation of innate immune response","bp"
"GO:0002683 negative regulation of immune system process",1.38037339242621e-05,4.35522864021149,1.38037339242621e-05,0.000210475282404803,64,1.38037339242621e-05,"GO:0002683 negative regulation of immune system process","bp"
"GO:0002687 positive regulation of leukocyte migration",1.515610457056e-05,4.59182632745739,1.51561045705601e-05,0.000228994961784281,30,1.515610457056e-05,"GO:0002687 positive regulation of leukocyte migration","bp"
"GO:0016064 immunoglobulin mediated immune response",1.59627262604324e-05,4.72434428720059,1.59627262604325e-05,0.000238976292997269,24,1.59627262604325e-05,"GO:0016064 immunoglobulin mediated immune response","bp"
"GO:0080134 regulation of response to stress",1.61042989264105e-05,4.24727174185001,1.61042989264104e-05,0.000238976292997269,109,1.61042989264105e-05,"GO:0080134 regulation of response to stress","bp"
"GO:0042742 defense response to bacterium",1.64520419208067e-05,4.39614521547615,1.64520419208068e-05,0.000241976050198061,42,1.64520419208068e-05,"GO:0042742 defense response to bacterium","bp"
"GO:0002685 regulation of leukocyte migration",1.66449474409115e-05,4.41060691534049,1.66449474409116e-05,0.000242665812691185,41,1.66449474409115e-05,"GO:0002685 regulation of leukocyte migration","bp"
"GO:0071219 cellular response to molecule of bacterial origin",1.67951460954914e-05,4.99886649681904,1.67951460954914e-05,0.000242726372267015,21,1.67951460954913e-05,"GO:0071219 cellular response to molecule of bacterial origin","bp"
"GO:0002285 lymphocyte activation involved in immune response",1.85915210286649e-05,4.58106383999285,1.8591521028665e-05,0.000266371620255528,27,1.85915210286649e-05,"GO:0002285 lymphocyte activation involved in immune response","bp"
"GO:0070665 positive regulation of leukocyte proliferation",1.90742642819136e-05,4.46783078378465,1.90742642819137e-05,0.000270952369543082,33,1.90742642819136e-05,"GO:0070665 positive regulation of leukocyte proliferation","bp"
"GO:0002705 positive regulation of leukocyte mediated immunity",2.36818505334035e-05,4.75700737644358,2.36818505334035e-05,0.000333552843953531,22,2.36818505334035e-05,"GO:0002705 positive regulation of leukocyte mediated immunity","bp"
"GO:0040017 positive regulation of locomotion",2.83958363278701e-05,4.15569523095688,2.83958363278702e-05,0.000396587226696809,71,2.83958363278701e-05,"GO:0040017 positive regulation of locomotion","bp"
"GO:0032496 response to lipopolysaccharide",3.0378049728575e-05,4.35880255813167,3.0378049728575e-05,0.000420735988740764,30,3.0378049728575e-05,"GO:0032496 response to lipopolysaccharide","bp"
"GO:0002699 positive regulation of immune effector process",3.17787869135609e-05,4.36869400814503,3.1778786913561e-05,0.000436498709506929,29,3.17787869135609e-05,"GO:0002699 positive regulation of immune effector process","bp"
"GO:0006281 DNA repair",3.61085946048303e-05,4.42062504593429,3.61085946048303e-05,0.000491905608469082,27,3.61085946048303e-05,"GO:0006281 DNA repair","bp"
"GO:0006935 chemotaxis",3.75546415304947e-05,4.08517805194291,3.75546415304947e-05,0.000503353340513567,69,3.75546415304947e-05,"GO:0006935 chemotaxis","bp"
"GO:0042330 taxis",3.75546415304947e-05,4.08517805194291,3.75546415304947e-05,0.000503353340513567,69,3.75546415304947e-05,"GO:0042330 taxis","bp"
"GO:0002824 positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",3.82837714321595e-05,4.61388618975943,3.82837714321596e-05,0.000509021024961994,21,3.82837714321595e-05,"GO:0002824 positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0030335 positive regulation of cell migration",4.08066208336215e-05,4.06326819834507,4.08066208336215e-05,0.000534020502562826,70,4.08066208336214e-05,"GO:0030335 positive regulation of cell migration","bp"
"GO:2000147 positive regulation of cell motility",4.08066208336215e-05,4.06326819834507,4.08066208336215e-05,0.000534020502562826,70,4.08066208336214e-05,"GO:2000147 positive regulation of cell motility","bp"
"GO:0051272 positive regulation of cellular component movement",4.20974345839163e-05,4.05144127648194,4.20974345839163e-05,0.000546367481972059,72,4.20974345839163e-05,"GO:0051272 positive regulation of cellular component movement","bp"
"GO:0071887 leukocyte apoptotic process",4.24075843407916e-05,4.50912767765111,4.24075843407916e-05,0.000546367481972059,22,4.24075843407916e-05,"GO:0071887 leukocyte apoptotic process","bp"
"GO:0001909 leukocyte mediated cytotoxicity",4.7792124913318e-05,4.38624825326916,4.7792124913318e-05,0.000611003935430266,24,4.7792124913318e-05,"GO:0001909 leukocyte mediated cytotoxicity","bp"
"GO:0031349 positive regulation of defense response",4.93994954478291e-05,4.22672220685032,4.93994954478292e-05,0.000626732530032764,29,4.93994954478291e-05,"GO:0031349 positive regulation of defense response","bp"
"GO:0051239 regulation of multicellular organismal process",5.16280683774062e-05,3.90888914704135,5.16280683774063e-05,0.000650044315479161,302,5.16280683774061e-05,"GO:0051239 regulation of multicellular organismal process","bp"
"GO:0050853 B cell receptor signaling pathway",5.86185845781885e-05,4.56727571831046,5.86185845781886e-05,0.000732511936608643,19,5.86185845781885e-05,"GO:0050853 B cell receptor signaling pathway","bp"
"GO:0042102 positive regulation of T cell proliferation",6.51185943787844e-05,4.15829209193191,6.51185943787844e-05,0.000807664954160744,28,6.51185943787844e-05,"GO:0042102 positive regulation of T cell proliferation","bp"
"GO:0071222 cellular response to lipopolysaccharide",6.95503571017457e-05,4.56172976390815,6.95503571017457e-05,0.000856242174097047,18,6.95503571017457e-05,"GO:0071222 cellular response to lipopolysaccharide","bp"
"GO:0051240 positive regulation of multicellular organismal process",8.64156955996812e-05,3.79300565284732,8.64156955996814e-05,0.00105605063299022,193,8.64156955996812e-05,"GO:0051240 positive regulation of multicellular organismal process","bp"
"GO:0050871 positive regulation of B cell activation",8.98452140678481e-05,4.89831972049706,8.9845214067848e-05,0.00108994704949462,15,8.98452140678481e-05,"GO:0050871 positive regulation of B cell activation","bp"
"GO:1902105 regulation of leukocyte differentiation",9.30092382898186e-05,3.92747402373056,9.30092382898187e-05,0.00111826761112098,40,9.30092382898187e-05,"GO:1902105 regulation of leukocyte differentiation","bp"
"GO:0042221 response to chemical",9.35253898590951e-05,3.75697662248348,9.35253898590952e-05,0.00111826761112098,334,9.35253898590951e-05,"GO:0042221 response to chemical","bp"
"GO:0001906 cell killing",0.000100460523834518,3.98831065680244,0.000100460523834518,0.00119260993294977,30,0.000100460523834518,"GO:0001906 cell killing","bp"
"GO:0001818 negative regulation of cytokine production",0.000103831944338911,3.92841766857384,0.000103831944338911,0.00121316152342393,36,0.000103831944338911,"GO:0001818 negative regulation of cytokine production","bp"
"GO:0032613 interleukin-10 production",0.000104381526985332,4.45995070571327,0.000104381526985332,0.00121316152342393,17,0.000104381526985332,"GO:0032613 interleukin-10 production","bp"
"GO:0032653 regulation of interleukin-10 production",0.000104381526985332,4.45995070571327,0.000104381526985332,0.00121316152342393,17,0.000104381526985332,"GO:0032653 regulation of interleukin-10 production","bp"
"GO:0002478 antigen processing and presentation of exogenous peptide antigen",0.000110336314961746,4.72367563192713,0.000110336314961746,0.00126468245149257,17,0.000110336314961746,"GO:0002478 antigen processing and presentation of exogenous peptide antigen","bp"
