"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0051249 regulation of lymphocyte activation",2.3031358797107e-08,5.85929464619048,2.30313587971071e-08,1.32322460735287e-06,63,2.3031358797107e-08,"GO:0051249 regulation of lymphocyte activation","bp"
"GO:0001819 positive regulation of cytokine production",2.35588950864012e-08,5.90389948969801,2.35588950864012e-08,1.32322460735287e-06,58,2.35588950864012e-08,"GO:0001819 positive regulation of cytokine production","bp"
"GO:0002764 immune response-regulating signaling pathway",2.5442773064714e-08,6.08995896772018,2.54427730647138e-08,1.38293782625944e-06,48,2.5442773064714e-08,"GO:0002764 immune response-regulating signaling pathway","bp"
"GO:0002694 regulation of leukocyte activation",3.2242158924682e-08,5.68744457012193,3.2242158924682e-08,1.65444088331394e-06,79,3.2242158924682e-08,"GO:0002694 regulation of leukocyte activation","bp"
"GO:0050865 regulation of cell activation",3.24015128482848e-08,5.67183626803108,3.24015128482849e-08,1.65444088331394e-06,83,3.24015128482847e-08,"GO:0050865 regulation of cell activation","bp"
"GO:0098542 defense response to other organism",3.54198082721138e-08,5.79800015149534,3.54198082721136e-08,1.75536402760328e-06,56,3.54198082721137e-08,"GO:0098542 defense response to other organism","bp"
"GO:0002697 regulation of immune effector process",3.88448171507708e-08,5.87843043007616,3.88448171507706e-08,1.79012620857967e-06,51,3.88448171507709e-08,"GO:0002697 regulation of immune effector process","bp"
"GO:0032943 mononuclear cell proliferation",3.93084093278624e-08,5.85040663416969,3.93084093278622e-08,1.79012620857967e-06,53,3.93084093278624e-08,"GO:0032943 mononuclear cell proliferation","bp"
"GO:0046651 lymphocyte proliferation",3.93084093278624e-08,5.85040663416969,3.93084093278622e-08,1.79012620857967e-06,53,3.93084093278624e-08,"GO:0046651 lymphocyte proliferation","bp"
"GO:0050863 regulation of T cell activation",5.96982442274532e-08,5.70230804641615,5.96982442274533e-08,2.64714582955944e-06,56,5.96982442274532e-08,"GO:0050863 regulation of T cell activation","bp"
"GO:0050900 leukocyte migration",9.98068070529707e-08,5.56358536604318,9.98068070529709e-08,4.3121658944681e-06,58,9.98068070529706e-08,"GO:0050900 leukocyte migration","bp"
"GO:0002429 immune response-activating cell surface receptor signaling pathway",1.29691497499983e-07,6.03052446463873,1.29691497499984e-07,5.46325433218682e-06,36,1.29691497499983e-07,"GO:0002429 immune response-activating cell surface receptor signaling pathway","bp"
"GO:0070661 leukocyte proliferation",1.34700137906731e-07,5.51985887550675,1.34700137906731e-07,5.53584713104492e-06,56,1.34700137906731e-07,"GO:0070661 leukocyte proliferation","bp"
"GO:0042113 B cell activation",1.41560036608775e-07,6.55054864442423,1.41560036608775e-07,5.67925384966157e-06,30,1.41560036608775e-07,"GO:0042113 B cell activation","bp"
"GO:0002520 immune system development",1.61383784303457e-07,5.26497304355216,1.61383784303459e-07,6.32399247793786e-06,116,1.61383784303457e-07,"GO:0002520 immune system development","bp"
"GO:0048518 positive regulation of biological process",1.76119999003026e-07,5.12921854485308,1.76119999003028e-07,6.74459541636594e-06,479,1.76119999003026e-07,"GO:0048518 positive regulation of biological process","bp"
"GO:0002703 regulation of leukocyte mediated immunity",1.96014591188947e-07,5.85578547171669,1.96014591188946e-07,7.339657470075e-06,35,1.96014591188947e-07,"GO:0002703 regulation of leukocyte mediated immunity","bp"
"GO:0030217 T cell differentiation",2.24544885098013e-07,5.57813934865811,2.24544885098016e-07,8.22517676935122e-06,42,2.24544885098014e-07,"GO:0030217 T cell differentiation","bp"
"GO:0030155 regulation of cell adhesion",3.04502880433344e-07,5.16559135957862,3.04502880433345e-07,1.09167522027699e-05,97,3.04502880433344e-07,"GO:0030155 regulation of cell adhesion","bp"
"GO:0002768 immune response-regulating cell surface receptor signaling pathway",3.19184357350124e-07,5.66481996141681,3.19184357350124e-07,1.12047008778116e-05,37,3.19184357350124e-07,"GO:0002768 immune response-regulating cell surface receptor signaling pathway","bp"
"GO:0048534 hematopoietic or lymphoid organ development",4.54141810955151e-07,5.05221607832064,4.54141810955154e-07,1.56169173767232e-05,113,4.54141810955152e-07,"GO:0048534 hematopoietic or lymphoid organ development","bp"
"GO:0042098 T cell proliferation",5.88567072402447e-07,5.2810243940947,5.88567072402449e-07,1.98347103399625e-05,44,5.88567072402447e-07,"GO:0042098 T cell proliferation","bp"
"GO:0048583 regulation of response to stimulus",7.2175669188926e-07,4.86136983374099,7.2175669188926e-07,2.38462750163412e-05,348,7.2175669188926e-07,"GO:0048583 regulation of response to stimulus","bp"
"GO:1903037 regulation of leukocyte cell-cell adhesion",7.44010785586496e-07,5.11349886442125,7.44010785586494e-07,2.4108811032947e-05,55,7.44010785586495e-07,"GO:1903037 regulation of leukocyte cell-cell adhesion","bp"
"GO:0034097 response to cytokine",9.23264439096106e-07,4.95234871978041,9.23264439096102e-07,2.93528411297534e-05,82,9.23264439096105e-07,"GO:0034097 response to cytokine","bp"
"GO:0030097 hemopoiesis",9.44329987075704e-07,4.90197062197828,9.44329987075704e-07,2.94665931152326e-05,107,9.44329987075704e-07,"GO:0030097 hemopoiesis","bp"
"GO:0006974 cellular response to DNA damage stimulus",1.01941760158676e-06,5.24747321823514,1.01941760158676e-06,3.12312483395218e-05,40,1.01941760158676e-06,"GO:0006974 cellular response to DNA damage stimulus","bp"
"GO:0050867 positive regulation of cell activation",1.15418904091256e-06,4.99790020204284,1.15418904091256e-06,3.40579621033948e-05,56,1.15418904091256e-06,"GO:0050867 positive regulation of cell activation","bp"
"GO:0002819 regulation of adaptive immune response",1.16374675628968e-06,5.39853796851339,1.16374675628968e-06,3.40579621033948e-05,32,1.16374675628968e-06,"GO:0002819 regulation of adaptive immune response","bp"
"GO:0002696 positive regulation of leukocyte activation",1.17232154421182e-06,5.00544157919993,1.17232154421181e-06,3.40579621033948e-05,54,1.17232154421182e-06,"GO:0002696 positive regulation of leukocyte activation","bp"
"GO:1903039 positive regulation of leukocyte cell-cell adhesion",1.21845264212459e-06,5.08807889539031,1.21845264212458e-06,3.47981813894902e-05,44,1.21845264212459e-06,"GO:1903039 positive regulation of leukocyte cell-cell adhesion","bp"
"GO:0050851 antigen receptor-mediated signaling pathway",1.33478280237435e-06,5.44851911006579,1.33478280237435e-06,3.7114143547105e-05,31,1.33478280237435e-06,"GO:0050851 antigen receptor-mediated signaling pathway","bp"
"GO:0002237 response to molecule of bacterial origin",1.34359807499905e-06,5.16730419715856,1.34359807499905e-06,3.7114143547105e-05,37,1.34359807499905e-06,"GO:0002237 response to molecule of bacterial origin","bp"
"GO:0007165 signal transduction",1.418425099043e-06,4.71291440368214,1.41842509904299e-06,3.854913374012e-05,442,1.418425099043e-06,"GO:0007165 signal transduction","bp"
"GO:0031347 regulation of defense response",1.48272466410423e-06,4.87257255920257,1.48272466410423e-06,3.96570009367561e-05,72,1.48272466410423e-06,"GO:0031347 regulation of defense response","bp"
"GO:0009605 response to external stimulus",1.79381944513617e-06,4.68971855800117,1.79381944513617e-06,4.72279025789757e-05,237,1.79381944513617e-06,"GO:0009605 response to external stimulus","bp"
"GO:0032944 regulation of mononuclear cell proliferation",1.93104836582068e-06,4.97248469329863,1.93104836582068e-06,4.93002499455734e-05,44,1.93104836582068e-06,"GO:0032944 regulation of mononuclear cell proliferation","bp"
"GO:0050670 regulation of lymphocyte proliferation",1.93104836582068e-06,4.97248469329863,1.93104836582068e-06,4.93002499455734e-05,44,1.93104836582068e-06,"GO:0050670 regulation of lymphocyte proliferation","bp"
"GO:0019882 antigen processing and presentation",2.2445617502608e-06,5.23269136672567,2.2445617502608e-06,5.64490529729768e-05,31,2.2445617502608e-06,"GO:0019882 antigen processing and presentation","bp"
"GO:0002274 myeloid leukocyte activation",2.32746137354515e-06,4.94853055612406,2.32746137354515e-06,5.76731237415232e-05,40,2.32746137354515e-06,"GO:0002274 myeloid leukocyte activation","bp"
"GO:0006954 inflammatory response",2.55762545898187e-06,4.68639659002166,2.55762545898186e-06,6.24579550490497e-05,102,2.55762545898187e-06,"GO:0006954 inflammatory response","bp"
"GO:0045088 regulation of innate immune response",2.80548926596273e-06,5.13086362019411,2.80548926596275e-06,6.7532134473532e-05,31,2.80548926596273e-06,"GO:0045088 regulation of innate immune response","bp"
"GO:0070663 regulation of leukocyte proliferation",3.14911010599158e-06,4.83457723722999,3.14911010599159e-06,7.47359229379695e-05,45,3.14911010599158e-06,"GO:0070663 regulation of leukocyte proliferation","bp"
"GO:0022409 positive regulation of cell-cell adhesion",3.208830315534e-06,4.80087713808843,3.20883031553399e-06,7.50955428010386e-05,48,3.208830315534e-06,"GO:0022409 positive regulation of cell-cell adhesion","bp"
"GO:0051251 positive regulation of lymphocyte activation",3.77294864481567e-06,4.79090428706608,3.77294864481567e-06,8.70879241988275e-05,44,3.77294864481567e-06,"GO:0051251 positive regulation of lymphocyte activation","bp"
"GO:0022407 regulation of cell-cell adhesion",3.83404787277936e-06,4.67369912948301,3.83404787277936e-06,8.73023062923407e-05,64,3.83404787277936e-06,"GO:0022407 regulation of cell-cell adhesion","bp"
"GO:0002822 regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",4.39950745372179e-06,5.05196793427291,4.39950745372179e-06,9.88422674602828e-05,29,4.39950745372179e-06,"GO:0002822 regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0050870 positive regulation of T cell activation",4.60949706395726e-06,4.76565974231993,4.60949706395727e-06,0.000102197402010105,41,4.60949706395726e-06,"GO:0050870 positive regulation of T cell activation","bp"
"GO:0048002 antigen processing and presentation of peptide antigen",5.50596250186231e-06,5.16838399403358,5.50596250186232e-06,0.000120487620982312,26,5.50596250186232e-06,"GO:0048002 antigen processing and presentation of peptide antigen","bp"
"GO:0002706 regulation of lymphocyte mediated immunity",6.52914772981308e-06,4.95167558948033,6.52914772981309e-06,0.000139879039766031,28,6.52914772981308e-06,"GO:0002706 regulation of lymphocyte mediated immunity","bp"
"GO:0002285 lymphocyte activation involved in immune response",6.5581270869534e-06,5.16774883322457,6.55812708695338e-06,0.000139879039766031,24,6.5581270869534e-06,"GO:0002285 lymphocyte activation involved in immune response","bp"
"GO:0002699 positive regulation of immune effector process",7.20677039227272e-06,4.95625884129216,7.20677039227268e-06,0.000151792601387243,27,7.20677039227272e-06,"GO:0002699 positive regulation of immune effector process","bp"
"GO:0007155 cell adhesion",7.34580044177156e-06,4.40546289132713,7.34580044177158e-06,0.000152810786967717,152,7.34580044177156e-06,"GO:0007155 cell adhesion","bp"
"GO:0016043 cellular component organization",7.70816955619029e-06,4.34823032810766,7.70816955619026e-06,0.000156485128941935,420,7.70816955619028e-06,"GO:0016043 cellular component organization","bp"
"GO:0071840 cellular component organization or biogenesis",7.70816955619029e-06,4.34823032810766,7.70816955619026e-06,0.000156485128941935,420,7.70816955619028e-06,"GO:0071840 cellular component organization or biogenesis","bp"
"GO:0031349 positive regulation of defense response",7.8718406068782e-06,4.65664293320772,7.87184060687825e-06,0.000157905374078451,38,7.8718406068782e-06,"GO:0031349 positive regulation of defense response","bp"
"GO:0009607 response to biotic stimulus",8.32028929813568e-06,4.40251494896999,8.32028929813569e-06,0.000164937499615984,112,8.32028929813568e-06,"GO:0009607 response to biotic stimulus","bp"
"GO:0006935 chemotaxis",8.90484072244634e-06,4.45333877888097,8.90484072244637e-06,0.000170770360129247,68,8.90484072244634e-06,"GO:0006935 chemotaxis","bp"
"GO:0042330 taxis",8.90484072244634e-06,4.45333877888097,8.90484072244637e-06,0.000170770360129247,68,8.90484072244634e-06,"GO:0042330 taxis","bp"
"GO:0042129 regulation of T cell proliferation",8.91857073672034e-06,4.61786082664498,8.91857073672029e-06,0.000170770360129247,38,8.91857073672033e-06,"GO:0042129 regulation of T cell proliferation","bp"
"GO:0022610 biological adhesion",9.14141001418573e-06,4.35337840143335,9.14141001418575e-06,0.000171891012385088,155,9.14141001418572e-06,"GO:0022610 biological adhesion","bp"
"GO:0002685 regulation of leukocyte migration",9.18112232323911e-06,4.62285554847575,9.18112232323912e-06,0.000171891012385088,37,9.18112232323911e-06,"GO:0002685 regulation of leukocyte migration","bp"
"GO:0023052 signaling",1.00469103543516e-05,4.28524796243401,1.00469103543516e-05,0.000184125569059415,481,1.00469103543516e-05,"GO:0023052 signaling","bp"
"GO:0002821 positive regulation of adaptive immune response",1.00531467973093e-05,5.00484684884954,1.00531467973093e-05,0.000184125569059415,24,1.00531467973093e-05,"GO:0002821 positive regulation of adaptive immune response","bp"
"GO:0071216 cellular response to biotic stimulus",1.02027124756579e-05,5.14693034528819,1.02027124756578e-05,0.000184855597005198,22,1.02027124756579e-05,"GO:0071216 cellular response to biotic stimulus","bp"
"GO:0032101 regulation of response to external stimulus",1.05021841329685e-05,4.37768358464449,1.05021841329685e-05,0.000188257236851616,86,1.05021841329685e-05,"GO:0032101 regulation of response to external stimulus","bp"
"GO:0002456 T cell mediated immunity",1.13182502754731e-05,4.96792179385259,1.13182502754731e-05,0.000200750018043918,24,1.13182502754731e-05,"GO:0002456 T cell mediated immunity","bp"
"GO:0045785 positive regulation of cell adhesion",1.25423225570888e-05,4.36351734587485,1.25423225570888e-05,0.000220143890715569,71,1.25423225570888e-05,"GO:0045785 positive regulation of cell adhesion","bp"
"GO:0071345 cellular response to cytokine stimulus",1.272890731893e-05,4.36169734474146,1.272890731893e-05,0.000220914312666418,69,1.272890731893e-05,"GO:0071345 cellular response to cytokine stimulus","bp"
"GO:0098609 cell-cell adhesion",1.28484288672456e-05,4.32679125987133,1.28484288672457e-05,0.000220914312666418,87,1.28484288672456e-05,"GO:0098609 cell-cell adhesion","bp"
"GO:0007154 cell communication",1.41711436713278e-05,4.20655822154325,1.41711436713278e-05,0.000241195728143306,484,1.41711436713278e-05,"GO:0007154 cell communication","bp"
"GO:0043207 response to external biotic stimulus",1.57063372075958e-05,4.25228799675098,1.57063372075958e-05,0.000262031467275237,110,1.57063372075958e-05,"GO:0043207 response to external biotic stimulus","bp"
"GO:0051707 response to other organism",1.57063372075958e-05,4.25228799675098,1.57063372075958e-05,0.000262031467275237,110,1.57063372075958e-05,"GO:0051707 response to other organism","bp"
"GO:0071219 cellular response to molecule of bacterial origin",1.67951460955434e-05,4.99886649681777,1.67951460955433e-05,0.000277449227166574,21,1.67951460955434e-05,"GO:0071219 cellular response to molecule of bacterial origin","bp"
"GO:0032946 positive regulation of mononuclear cell proliferation",1.76062475985497e-05,4.52358813301137,1.76062475985496e-05,0.000285255069264963,31,1.76062475985497e-05,"GO:0032946 positive regulation of mononuclear cell proliferation","bp"
"GO:0050671 positive regulation of lymphocyte proliferation",1.76062475985497e-05,4.52358813301137,1.76062475985496e-05,0.000285255069264963,31,1.76062475985497e-05,"GO:0050671 positive regulation of lymphocyte proliferation","bp"
"GO:0050852 T cell receptor signaling pathway",1.98835458344447e-05,4.89998093407774,1.98835458344448e-05,0.000319083568867043,22,1.98835458344447e-05,"GO:0050852 T cell receptor signaling pathway","bp"
"GO:0001906 cell killing",2.05882274652666e-05,4.63117648476366,2.05882274652666e-05,0.000327275125273342,26,2.05882274652667e-05,"GO:0001906 cell killing","bp"
"GO:0048522 positive regulation of cellular process",2.25137483761485e-05,4.10237452104692,2.25137483761484e-05,0.000354538934708505,406,2.25137483761484e-05,"GO:0048522 positive regulation of cellular process","bp"
"GO:0006259 DNA metabolic process",2.27873763370161e-05,4.25052854971728,2.27873763370162e-05,0.000355159487343888,58,2.27873763370161e-05,"GO:0006259 DNA metabolic process","bp"
"GO:0042742 defense response to bacterium",2.2974708676845e-05,4.35484884250363,2.2974708676845e-05,0.000355159487343888,36,2.2974708676845e-05,"GO:0042742 defense response to bacterium","bp"
"GO:0002687 positive regulation of leukocyte migration",2.33931902384661e-05,4.47279182895767,2.33931902384662e-05,0.000358341141380141,29,2.33931902384661e-05,"GO:0002687 positive regulation of leukocyte migration","bp"
"GO:0002705 positive regulation of leukocyte mediated immunity",2.36818505334865e-05,4.75700737644226,2.36818505334865e-05,0.000359494758098421,22,2.36818505334865e-05,"GO:0002705 positive regulation of leukocyte mediated immunity","bp"
"GO:0030183 B cell differentiation",2.433270540478e-05,5.23690643856521,2.433270540478e-05,0.000366076862562985,19,2.43327054047799e-05,"GO:0030183 B cell differentiation","bp"
"GO:0032496 response to lipopolysaccharide",3.03780497287407e-05,4.35880255813,3.03780497287407e-05,0.00045157514532863,30,3.03780497287408e-05,"GO:0032496 response to lipopolysaccharide","bp"
"GO:0070665 positive regulation of leukocyte proliferation",3.05516715533908e-05,4.33918289079212,3.0551671553391e-05,0.00045157514532863,32,3.05516715533908e-05,"GO:0070665 positive regulation of leukocyte proliferation","bp"
"GO:0002683 negative regulation of immune system process",3.72590690003391e-05,4.10561740829051,3.72590690003391e-05,0.000545926358831056,61,3.72590690003391e-05,"GO:0002683 negative regulation of immune system process","bp"
"GO:0002824 positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",3.82837714322888e-05,4.61388618975813,3.82837714322888e-05,0.000556104783305229,21,3.82837714322888e-05,"GO:0002824 positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0060326 cell chemotaxis",4.15906111025793e-05,4.11381589965875,4.15906111025794e-05,0.000598975894938857,49,4.15906111025794e-05,"GO:0060326 cell chemotaxis","bp"
"GO:0051239 regulation of multicellular organismal process",4.20115143540924e-05,3.96100908620284,4.20115143540923e-05,0.000599910183785131,288,4.20115143540924e-05,"GO:0051239 regulation of multicellular organismal process","bp"
"GO:0080134 regulation of response to stress",4.36519634712018e-05,3.99938490139944,4.36519634712019e-05,0.000618097129823321,109,4.36519634712018e-05,"GO:0080134 regulation of response to stress","bp"
"GO:0009615 response to virus",5.51530995530785e-05,4.29437066129187,5.51530995530788e-05,0.000774441439557815,23,5.51530995530786e-05,"GO:0009615 response to virus","bp"
"GO:1903706 regulation of hemopoiesis",5.68664479098619e-05,4.05472776218386,5.68664479098619e-05,0.000791900534943119,43,5.68664479098619e-05,"GO:1903706 regulation of hemopoiesis","bp"
"GO:1902105 regulation of leukocyte differentiation",6.06920256937404e-05,4.07257815288476,6.06920256937407e-05,0.000838246420442238,37,6.06920256937404e-05,"GO:1902105 regulation of leukocyte differentiation","bp"
"GO:0006281 DNA repair",6.20641188546874e-05,4.26103538394338,6.20641188546876e-05,0.000850227969676005,26,6.20641188546874e-05,"GO:0006281 DNA repair","bp"
"GO:0051240 positive regulation of multicellular organismal process",6.46618388126385e-05,3.86886282956857,6.46618388126385e-05,0.000877798652230365,185,6.46618388126384e-05,"GO:0051240 positive regulation of multicellular organismal process","bp"
"GO:0042102 positive regulation of T cell proliferation",6.5118594379107e-05,4.15829209193033,6.51185943791072e-05,0.000877798652230365,28,6.5118594379107e-05,"GO:0042102 positive regulation of T cell proliferation","bp"
"GO:0051128 regulation of cellular component organization",6.6558946333671e-05,3.85995389914696,6.65589463336709e-05,0.000890093845811393,193,6.65589463336709e-05,"GO:0051128 regulation of cellular component organization","bp"
"GO:0071222 cellular response to lipopolysaccharide",6.95503571019355e-05,4.56172976390697,6.95503571019357e-05,0.000922774422966627,18,6.95503571019355e-05,"GO:0071222 cellular response to lipopolysaccharide","bp"
"GO:0007166 cell surface receptor signaling pathway",7.05793277396408e-05,3.83670041004318,7.05793277396408e-05,0.000929110681572616,244,7.05793277396408e-05,"GO:0007166 cell surface receptor signaling pathway","bp"
"GO:0030595 leukocyte chemotaxis",7.42552866892689e-05,4.00628826194156,7.42552866892689e-05,0.000969923705979985,38,7.42552866892689e-05,"GO:0030595 leukocyte chemotaxis","bp"
"GO:0001909 leukocyte mediated cytotoxicity",8.318796900606e-05,4.21782626720163,8.31879690060599e-05,0.00107766939686575,23,8.318796900606e-05,"GO:0001909 leukocyte mediated cytotoxicity","bp"
"GO:0050864 regulation of B cell activation",8.37831994002448e-05,4.89543715215507,8.37831994002451e-05,0.00107766939686575,16,8.37831994002448e-05,"GO:0050864 regulation of B cell activation","bp"
"GO:0032103 positive regulation of response to external stimulus",8.80051635216201e-05,3.98075803394536,8.80051635216201e-05,0.00112339924646917,35,8.80051635216201e-05,"GO:0032103 positive regulation of response to external stimulus","bp"
"GO:0040017 positive regulation of locomotion",0.000101138719262558,3.82162333163817,0.000101138719262558,0.00128134392449181,69,0.000101138719262558,"GO:0040017 positive regulation of locomotion","bp"
"GO:0032613 interleukin-10 production",0.000104381526985601,4.45995070571212,0.000104381526985601,0.00130283609607954,17,0.000104381526985601,"GO:0032613 interleukin-10 production","bp"
"GO:0032653 regulation of interleukin-10 production",0.000104381526985601,4.45995070571212,0.000104381526985601,0.00130283609607954,17,0.000104381526985601,"GO:0032653 regulation of interleukin-10 production","bp"
"GO:0045089 positive regulation of innate immune response",0.000107356229493012,4.21289727082386,0.000107356229493012,0.0013301121080568,21,0.000107356229493012,"GO:0045089 positive regulation of innate immune response","bp"
"GO:0030335 positive regulation of cell migration",0.000109593926554388,3.80284719848694,0.000109593926554388,0.00133815772640684,67,0.000109593926554388,"GO:0030335 positive regulation of cell migration","bp"
"GO:2000147 positive regulation of cell motility",0.000109593926554388,3.80284719848694,0.000109593926554388,0.00133815772640684,67,0.000109593926554388,"GO:2000147 positive regulation of cell motility","bp"
"GO:0051272 positive regulation of cellular component movement",0.000111642744757892,3.79446107331676,0.000111642744757892,0.00135336708573416,69,0.000111642744757892,"GO:0051272 positive regulation of cellular component movement","bp"
"GO:0042221 response to chemical",0.000143890441523944,3.64490138745357,0.000143890441523944,0.00173182424262747,343,0.000143890441523944,"GO:0042221 response to chemical","bp"
"GO:0001818 negative regulation of cytokine production",0.000150903708270695,3.82142991052852,0.000150903708270695,0.00180335282578809,35,0.000150903708270695,"GO:0001818 negative regulation of cytokine production","bp"
"GO:0002708 positive regulation of lymphocyte mediated immunity",0.000170133777894035,4.13776025238183,0.000170133777894035,0.00201884095599612,18,0.000170133777894035,"GO:0002708 positive regulation of lymphocyte mediated immunity","bp"
"GO:0050663 cytokine secretion",0.000173699377268162,3.81933908108627,0.000173699377268162,0.00204673741746051,31,0.000173699377268162,"GO:0050663 cytokine secretion","bp"
"GO:0002440 production of molecular mediator of immune response",0.000178077535423997,3.85559978084262,0.000178077535423997,0.00206831589375863,27,0.000178077535423997,"GO:0002440 production of molecular mediator of immune response","bp"
"GO:0002478 antigen processing and presentation of exogenous peptide antigen",0.000179213127886504,4.56480170343804,0.000179213127886504,0.00206831589375863,16,0.000179213127886504,"GO:0002478 antigen processing and presentation of exogenous peptide antigen","bp"
