"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0002757 immune response-activating signal transduction",0.00346363507620512,2.87675696393361,0.00346363507620511,0.0368477485414744,19,0.00346363507620511,"GO:0002757 immune response-activating signal transduction","bp"
"GO:0007159 leukocyte cell-cell adhesion",0.00354991313913461,2.79902894503031,0.00354991313913462,0.0371370176106612,28,0.00354991313913461,"GO:0007159 leukocyte cell-cell adhesion","bp"
"GO:0002694 regulation of leukocyte activation",0.00360958649648861,2.75462494519606,0.00360958649648862,0.0371370176106612,43,0.00360958649648861,"GO:0002694 regulation of leukocyte activation","bp"
"GO:0043067 regulation of programmed cell death",0.00361957619525052,2.71612126792846,0.00361957619525053,0.0371370176106612,94,0.00361957619525052,"GO:0043067 regulation of programmed cell death","bp"
"GO:0007163 establishment or maintenance of cell polarity",0.00362237336571181,2.87578837907206,0.00362237336571181,0.0371370176106612,17,0.00362237336571181,"GO:0007163 establishment or maintenance of cell polarity","bp"
"GO:0007155 cell adhesion",0.00362508848694089,2.71500013466921,0.00362508848694089,0.0371370176106612,95,0.00362508848694089,"GO:0007155 cell adhesion","bp"
"GO:2001251 negative regulation of chromosome organization",0.00370392155799565,3.13860272063578,0.00370392155799565,0.0372372600591706,10,0.00370392155799565,"GO:2001251 negative regulation of chromosome organization","bp"
"GO:0006954 inflammatory response",0.00371154535714683,2.73381830722656,0.00371154535714684,0.0372372600591706,51,0.00371154535714683,"GO:0006954 inflammatory response","bp"
"GO:0008283 cell proliferation",0.00371564850915801,2.69508350596203,0.00371564850915802,0.0372372600591706,152,0.00371564850915801,"GO:0008283 cell proliferation","bp"
"GO:0051321 meiotic cell cycle",0.00377481521445852,2.81602460886536,0.00377481521445852,0.0375580535366628,21,0.00377481521445852,"GO:0051321 meiotic cell cycle","bp"
"GO:0033045 regulation of sister chromatid segregation",0.00387061877127923,3.07837944928484,0.00387061877127923,0.0379562343602066,10,0.00387061877127923,"GO:0033045 regulation of sister chromatid segregation","bp"
"GO:0044267 cellular protein metabolic process",0.00389422241642325,2.67479461202835,0.00389422241642325,0.0379562343602066,201,0.00389422241642325,"GO:0044267 cellular protein metabolic process","bp"
"GO:0032101 regulation of response to external stimulus",0.00389716939924029,2.71814312416378,0.0038971693992403,0.0379562343602066,49,0.00389716939924029,"GO:0032101 regulation of response to external stimulus","bp"
"GO:0044237 cellular metabolic process",0.00397172235260904,2.66072777168191,0.00397172235260904,0.0384118322633448,430,0.00397172235260904,"GO:0044237 cellular metabolic process","bp"
"GO:0051129 negative regulation of cellular component organization",0.00409392489286221,2.69919821863434,0.00409392489286221,0.0393187369918642,50,0.00409392489286221,"GO:0051129 negative regulation of cellular component organization","bp"
"GO:0006935 chemotaxis",0.00420282704582843,2.70549794398729,0.00420282704582843,0.0398117109889091,40,0.00420282704582843,"GO:0006935 chemotaxis","bp"
"GO:0042330 taxis",0.00420282704582843,2.70549794398729,0.00420282704582843,0.0398117109889091,40,0.00420282704582843,"GO:0042330 taxis","bp"
"GO:0140013 meiotic nuclear division",0.00425744852705197,2.78561506775182,0.00425744852705198,0.0398144324674638,19,0.00425744852705197,"GO:0140013 meiotic nuclear division","bp"
"GO:0044238 primary metabolic process",0.00426069125465266,2.6369835602548,0.00426069125465267,0.0398144324674638,419,0.00426069125465266,"GO:0044238 primary metabolic process","bp"
"GO:0071345 cellular response to cytokine stimulus",0.00430122078821299,2.69072655357831,0.004301220788213,0.039923411745628,43,0.00430122078821299,"GO:0071345 cellular response to cytokine stimulus","bp"
"GO:0051249 regulation of lymphocyte activation",0.00435839406509362,2.70364856158663,0.00435839406509363,0.0401843932801632,34,0.00435839406509362,"GO:0051249 regulation of lymphocyte activation","bp"
"GO:0006928 movement of cell or subcellular component",0.0044494070502512,2.63529957161631,0.0044494070502512,0.0407518539768041,135,0.0044494070502512,"GO:0006928 movement of cell or subcellular component","bp"
"GO:0030316 osteoclast differentiation",0.00464498649136084,2.88816495619486,0.00464498649136084,0.0421126023316743,11,0.00464498649136084,"GO:0030316 osteoclast differentiation","bp"
"GO:0002429 immune response-activating cell surface receptor signaling pathway",0.00465887791521777,3.00192659622948,0.00465887791521777,0.0421126023316743,10,0.00465887791521777,"GO:0002429 immune response-activating cell surface receptor signaling pathway","bp"
"GO:0022610 biological adhesion",0.00473224504579519,2.62171036183003,0.0047322450457952,0.0423801673772129,96,0.00473224504579519,"GO:0022610 biological adhesion","bp"
"GO:0042981 regulation of apoptotic process",0.00474976568580478,2.62151335637337,0.00474976568580478,0.0423801673772129,93,0.00474976568580478,"GO:0042981 regulation of apoptotic process","bp"
"GO:0001817 regulation of cytokine production",0.00500411851818968,2.63551252940882,0.00500411851818969,0.0443634353247201,43,0.00500411851818968,"GO:0001817 regulation of cytokine production","bp"
"GO:0050865 regulation of cell activation",0.00512586950351829,2.62435646837636,0.00512586950351829,0.0451533600214382,45,0.00512586950351829,"GO:0050865 regulation of cell activation","bp"
"GO:0050727 regulation of inflammatory response",0.00517485491507395,2.65455471765578,0.00517485491507395,0.045296356630046,29,0.00517485491507395,"GO:0050727 regulation of inflammatory response","bp"
"GO:0032496 response to lipopolysaccharide",0.00544747241977984,2.74243835655656,0.00544747241977984,0.047382731802236,14,0.00544747241977984,"GO:0032496 response to lipopolysaccharide","bp"
