"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:1902850 microtubule cytoskeleton organization involved in mitosis",0.00118774967114897,3.59591054767518,0.00118774967114897,0.0185125121158391,12,0.00118774967114897,"GO:1902850 microtubule cytoskeleton organization involved in mitosis","bp"
"GO:0050851 antigen receptor-mediated signaling pathway",0.00120854899234247,3.54161237327125,0.00120854899234247,0.0186226412910953,12,0.00120854899234247,"GO:0050851 antigen receptor-mediated signaling pathway","bp"
"GO:0044843 cell cycle G1/S phase transition",0.00129358727352832,3.51932399481622,0.00129358727352832,0.0192202472401598,12,0.00129358727352832,"GO:0044843 cell cycle G1/S phase transition","bp"
"GO:0008219 cell death",0.00130239458395341,3.04038755337966,0.00130239458395342,0.0192202472401598,133,0.00130239458395341,"GO:0008219 cell death","bp"
"GO:0051249 regulation of lymphocyte activation",0.00131766511936452,3.11576554156061,0.00131766511936452,0.0192202472401598,37,0.00131766511936452,"GO:0051249 regulation of lymphocyte activation","bp"
"GO:0010948 negative regulation of cell cycle process",0.00132145731259091,3.22136125277776,0.00132145731259091,0.0192202472401598,21,0.00132145731259091,"GO:0010948 negative regulation of cell cycle process","bp"
"GO:0050865 regulation of cell activation",0.0013287238083206,3.08583874463971,0.0013287238083206,0.0192202472401598,49,0.00132872380832061,"GO:0050865 regulation of cell activation","bp"
"GO:0051276 chromosome organization",0.00133237702107302,3.10486450062159,0.00133237702107303,0.0192202472401598,40,0.00133237702107302,"GO:0051276 chromosome organization","bp"
"GO:0007093 mitotic cell cycle checkpoint",0.00139941367972042,3.562427693075,0.00139941367972042,0.0199747889442198,12,0.00139941367972042,"GO:0007093 mitotic cell cycle checkpoint","bp"
"GO:0000226 microtubule cytoskeleton organization",0.00148552049171079,3.08182885952435,0.0014855204917108,0.0205587037941636,35,0.00148552049171079,"GO:0000226 microtubule cytoskeleton organization","bp"
"GO:0034097 response to cytokine",0.00149940791374434,3.04718568065315,0.00149940791374434,0.0205587037941636,48,0.00149940791374434,"GO:0034097 response to cytokine","bp"
"GO:0009607 response to biotic stimulus",0.00152738403742285,3.01067612829048,0.00152738403742285,0.0205587037941636,78,0.00152738403742285,"GO:0009607 response to biotic stimulus","bp"
"GO:0043207 response to external biotic stimulus",0.00152738403742285,3.01067612829048,0.00152738403742285,0.0205587037941636,78,0.00152738403742285,"GO:0043207 response to external biotic stimulus","bp"
"GO:0051707 response to other organism",0.00152738403742285,3.01067612829048,0.00152738403742285,0.0205587037941636,78,0.00152738403742285,"GO:0051707 response to other organism","bp"
"GO:0042110 T cell activation",0.00153128988437354,3.0650619675347,0.00153128988437354,0.0205587037941636,37,0.00153128988437354,"GO:0042110 T cell activation","bp"
"GO:0048522 positive regulation of cellular process",0.00155424769458467,2.96797937855423,0.00155424769458467,0.0206623517044786,325,0.00155424769458467,"GO:0048522 positive regulation of cellular process","bp"
"GO:1901991 negative regulation of mitotic cell cycle phase transition",0.00158311003373166,3.32199082087365,0.00158311003373167,0.020841720444079,14,0.00158311003373166,"GO:1901991 negative regulation of mitotic cell cycle phase transition","bp"
"GO:0072359 circulatory system development",0.00166515761561607,2.98636161668425,0.00166515761561607,0.0217110935266865,73,0.00166515761561607,"GO:0072359 circulatory system development","bp"
"GO:0043412 macromolecule modification",0.00172738567582339,2.9443076209019,0.00172738567582339,0.0223079521563478,177,0.00172738567582339,"GO:0043412 macromolecule modification","bp"
"GO:0007346 regulation of mitotic cell cycle",0.00178517812225014,3.0169417003699,0.00178517812225014,0.0228368069223697,36,0.00178517812225014,"GO:0007346 regulation of mitotic cell cycle","bp"
"GO:1901564 organonitrogen compound metabolic process",0.00183098867317,2.91783215736708,0.00183098867317001,0.0231354855013907,295,0.00183098867317,"GO:1901564 organonitrogen compound metabolic process","bp"
"GO:0002520 immune system development",0.00184347439227327,2.9609549436599,0.00184347439227327,0.0231354855013907,62,0.00184347439227327,"GO:0002520 immune system development","bp"
"GO:0002764 immune response-regulating signaling pathway",0.00187677242267919,3.21857953391485,0.00187677242267919,0.0231354855013907,14,0.00187677242267919,"GO:0002764 immune response-regulating signaling pathway","bp"
"GO:0002768 immune response-regulating cell surface receptor signaling pathway",0.00187677242267919,3.21857953391485,0.00187677242267919,0.0231354855013907,14,0.00187677242267919,"GO:0002768 immune response-regulating cell surface receptor signaling pathway","bp"
"GO:0007052 mitotic spindle organization",0.00191311636254009,3.41035990815616,0.00191311636254009,0.0233710431315709,11,0.00191311636254009,"GO:0007052 mitotic spindle organization","bp"
"GO:0019538 protein metabolic process",0.00193515160143187,2.90289209602138,0.00193515160143187,0.0234291568887645,243,0.00193515160143187,"GO:0019538 protein metabolic process","bp"
"GO:0002237 response to molecule of bacterial origin",0.00199139163451984,3.11988828714068,0.00199139163451984,0.0237834028526658,16,0.00199139163451984,"GO:0002237 response to molecule of bacterial origin","bp"
"GO:0033554 cellular response to stress",0.00201002336717118,2.92570252960478,0.00201002336717119,0.0237834028526658,70,0.00201002336717118,"GO:0033554 cellular response to stress","bp"
"GO:0045786 negative regulation of cell cycle",0.00201702900299157,2.98725096012254,0.00201702900299157,0.0237834028526658,32,0.00201702900299157,"GO:0045786 negative regulation of cell cycle","bp"
"GO:0080134 regulation of response to stress",0.00211996638859393,2.9096366416343,0.00211996638859393,0.0247816760597704,68,0.00211996638859393,"GO:0080134 regulation of response to stress","bp"
"GO:0000082 G1/S transition of mitotic cell cycle",0.00215267087302676,3.31926102647115,0.00215267087302677,0.0249413799110123,11,0.00215267087302676,"GO:0000082 G1/S transition of mitotic cell cycle","bp"
"GO:0033045 regulation of sister chromatid segregation",0.00217941278437024,3.31752544715901,0.00217941278437025,0.0249413799110123,11,0.00217941278437024,"GO:0033045 regulation of sister chromatid segregation","bp"
"GO:0030098 lymphocyte differentiation",0.00218880841401951,2.97977328651654,0.00218880841401951,0.0249413799110123,27,0.00218880841401951,"GO:0030098 lymphocyte differentiation","bp"
"GO:0044260 cellular macromolecule metabolic process",0.00229918291877275,2.84385792036905,0.00229918291877275,0.0259807669821321,325,0.00229918291877275,"GO:0044260 cellular macromolecule metabolic process","bp"
"GO:0012501 programmed cell death",0.00239547079478597,2.84793398108664,0.00239547079478598,0.0266488464516822,120,0.00239547079478597,"GO:0012501 programmed cell death","bp"
"GO:0010639 negative regulation of organelle organization",0.00242143027123057,2.94233291505144,0.00242143027123057,0.0266488464516822,28,0.00242143027123057,"GO:0010639 negative regulation of organelle organization","bp"
"GO:0071216 cellular response to biotic stimulus",0.00245656770387926,3.16594788643926,0.00245656770387926,0.0266488464516822,11,0.00245656770387926,"GO:0071216 cellular response to biotic stimulus","bp"
"GO:0071219 cellular response to molecule of bacterial origin",0.00245656770387926,3.16594788643926,0.00245656770387926,0.0266488464516822,11,0.00245656770387926,"GO:0071219 cellular response to molecule of bacterial origin","bp"
"GO:0071222 cellular response to lipopolysaccharide",0.00245656770387926,3.16594788643926,0.00245656770387926,0.0266488464516822,11,0.00245656770387926,"GO:0071222 cellular response to lipopolysaccharide","bp"
"GO:0006464 cellular protein modification process",0.00269700313998473,2.80031829054004,0.00269700313998473,0.0287963484867661,175,0.00269700313998473,"GO:0006464 cellular protein modification process","bp"
"GO:0036211 protein modification process",0.00269700313998473,2.80031829054004,0.00269700313998473,0.0287963484867661,175,0.00269700313998473,"GO:0036211 protein modification process","bp"
"GO:0044267 cellular protein metabolic process",0.00283144874116063,2.78112261976036,0.00283144874116064,0.0297146374844666,212,0.00283144874116063,"GO:0044267 cellular protein metabolic process","bp"
"GO:0016310 phosphorylation",0.00283414301387782,2.78900150746585,0.00283414301387783,0.0297146374844666,137,0.00283414301387782,"GO:0016310 phosphorylation","bp"
"GO:0030155 regulation of cell adhesion",0.00285824589635088,2.8202406522477,0.00285824589635088,0.0297146374844666,55,0.00285824589635088,"GO:0030155 regulation of cell adhesion","bp"
"GO:1901988 negative regulation of cell cycle phase transition",0.00287066188087399,3.02286497417934,0.00287066188087399,0.0297146374844666,15,0.00287066188087399,"GO:1901988 negative regulation of cell cycle phase transition","bp"
"GO:0006954 inflammatory response",0.0029893482038415,2.80860796262674,0.00298934820384151,0.0307087588212809,52,0.0029893482038415,"GO:0006954 inflammatory response","bp"
"GO:0002699 positive regulation of immune effector process",0.00303174716920504,3.06968323513095,0.00303174716920504,0.0309101440709928,11,0.00303174716920504,"GO:0002699 positive regulation of immune effector process","bp"
"GO:0071345 cellular response to cytokine stimulus",0.00308626327336172,2.80777307598063,0.00308626327336172,0.0312311417811828,44,0.00308626327336172,"GO:0071345 cellular response to cytokine stimulus","bp"
"GO:0051225 spindle assembly",0.00313906145378518,3.20738779700604,0.00313906145378519,0.0314191005849509,10,0.00313906145378518,"GO:0051225 spindle assembly","bp"
"GO:0045930 negative regulation of mitotic cell cycle",0.00317369046475584,2.91094287424796,0.00317369046475584,0.0314191005849509,19,0.00317369046475584,"GO:0045930 negative regulation of mitotic cell cycle","bp"
"GO:0071704 organic substance metabolic process",0.00317434865791908,2.73526976115594,0.00317434865791908,0.0314191005849509,481,0.00317434865791908,"GO:0071704 organic substance metabolic process","bp"
"GO:0050727 regulation of inflammatory response",0.00322469096053799,2.82715084708516,0.00322469096053799,0.0315385275432074,30,0.00322469096053799,"GO:0050727 regulation of inflammatory response","bp"
"GO:0001817 regulation of cytokine production",0.00323293165819013,2.79664521702728,0.00323293165819013,0.0315385275432074,41,0.00323293165819013,"GO:0001817 regulation of cytokine production","bp"
"GO:0016064 immunoglobulin mediated immune response",0.00328987427841848,2.94553097327831,0.00328987427841848,0.0316387909328756,15,0.00328987427841848,"GO:0016064 immunoglobulin mediated immune response","bp"
"GO:0019724 B cell mediated immunity",0.00328987427841848,2.94553097327831,0.00328987427841848,0.0316387909328756,15,0.00328987427841848,"GO:0019724 B cell mediated immunity","bp"
"GO:0032496 response to lipopolysaccharide",0.00333012785610728,2.93090607977827,0.00333012785610728,0.0318003758653625,15,0.00333012785610728,"GO:0032496 response to lipopolysaccharide","bp"
"GO:0002761 regulation of myeloid leukocyte differentiation",0.0034482877671471,3.0246110166003,0.00344828776714711,0.0325738211561462,11,0.0034482877671471,"GO:0002761 regulation of myeloid leukocyte differentiation","bp"
"GO:1902105 regulation of leukocyte differentiation",0.00345916684844031,2.82269133014757,0.0034591668484403,0.0325738211561462,25,0.00345916684844031,"GO:1902105 regulation of leukocyte differentiation","bp"
"GO:0010467 gene expression",0.00353569359074871,2.70555421074705,0.00353569359074872,0.0328047777166311,232,0.00353569359074871,"GO:0010467 gene expression","bp"
"GO:0048519 negative regulation of biological process",0.00356714415820444,2.69961063263983,0.00356714415820444,0.0328047777166311,308,0.00356714415820444,"GO:0048519 negative regulation of biological process","bp"
"GO:0002696 positive regulation of leukocyte activation",0.00359432758664063,2.78342824489803,0.00359432758664064,0.0328047777166311,31,0.00359432758664063,"GO:0002696 positive regulation of leukocyte activation","bp"
"GO:0002697 regulation of immune effector process",0.00359791868561725,2.85215223966613,0.00359791868561725,0.0328047777166311,19,0.00359791868561725,"GO:0002697 regulation of immune effector process","bp"
"GO:0030097 hemopoiesis",0.00361341175488868,2.73635466935352,0.00361341175488868,0.0328047777166311,57,0.00361341175488868,"GO:0030097 hemopoiesis","bp"
"GO:0006468 protein phosphorylation",0.00362884709254768,2.70787863520261,0.00362884709254768,0.0328047777166311,124,0.00362884709254769,"GO:0006468 protein phosphorylation","bp"
"GO:0048523 negative regulation of cellular process",0.00366549074260529,2.69120435969277,0.0036654907426053,0.0329165923640582,284,0.00366549074260529,"GO:0048523 negative regulation of cellular process","bp"
"GO:2001251 negative regulation of chromosome organization",0.00370392155800897,3.138602720634,0.00370392155800897,0.0330428791622379,10,0.00370392155800897,"GO:2001251 negative regulation of chromosome organization","bp"
"GO:0006915 apoptotic process",0.0037460715195734,2.69797283625017,0.00374607151957341,0.0332004769970036,118,0.0037460715195734,"GO:0006915 apoptotic process","bp"
"GO:0051321 meiotic cell cycle",0.00377481521447744,2.81602460886342,0.00377481521447745,0.0332031630854109,21,0.00377481521447744,"GO:0051321 meiotic cell cycle","bp"
"GO:0048534 hematopoietic or lymphoid organ development",0.0037962015008622,2.71640751921052,0.0037962015008622,0.0332031630854109,60,0.0037962015008622,"GO:0048534 hematopoietic or lymphoid organ development","bp"
"GO:0009605 response to external stimulus",0.00381983292133046,2.68536687383691,0.00381983292133046,0.0332031630854109,157,0.00381983292133046,"GO:0009605 response to external stimulus","bp"
"GO:0010941 regulation of cell death",0.00393420122319451,2.68307312000399,0.00393420122319451,0.0339794704372723,110,0.00393420122319451,"GO:0010941 regulation of cell death","bp"
"GO:0051129 negative regulation of cellular component organization",0.0040939248928924,2.6991982186317,0.00409392489289241,0.0351352035111526,50,0.0040939248928924,"GO:0051129 negative regulation of cellular component organization","bp"
